,Hi all~ I am in the market for a new plaquette style device,1
8360,I usually carry doubles from .3 to 3 and there is plenty of room,1
8361,The pad on the waist loops also slides so you can always have the harness centered,1
8362,The Petzl Adjama is super rad for trad,1
8363,It’s comfy but not too bulky and the 5th gear loop on the back is super nice to have,1
8364,Just ordered a singing rock dome,1
8365,Looks sweet!,1
8366,I’m very happy with my Yates Shield harness.,1
8367,Ok~ so I got the Cadillac,1
8368,It was on my doorstep last night upon returning from beautiful/lovely Tahquitz,1
8369,The first thing I noticed was the padding,1
8370,There's really not much difference between the padding on that and my Petzl Corax,1
8371,The padding feels stiff and is nowhere near as thick as I was imagining for harness that I want to wear for extended hours,1
8372,My question would be~ first~ for those who have experience with the Cadillac and who have responded with alternatives,1
8373,Among the Renegade~ Big Gun~ Shield~ FL-365 and Dome - which has the padding?  I tried the Caddy on last night,1
8374,It felt comfortable enough but that was not racked,1
8375,The padding feels stiff,1
8376,I want something soft and cushy,1
8377,Thanks for the assists peeps,1
8378,You don’t want soft and cushy~ soft and cushy breaks down fast,1
8379,You want wider surface area with firm supportive padding,1
8380,Bottom line is that no matter what harness you get a true hanging belay sucks~ you just want to minimize how much suck,1
8381,You don’t want soft and cushy~ soft and cushy breaks down fast,1
8382,You want wider surface area with firm supportive padding,1
8383,Bottom line is that no matter what harness you get a true hanging belay sucks~ you just want to minimize how much suck,1
8384,Well ok~ I still want it but I won't try and find soft/cushy,1
8385,I guess I'll rack the caddy today and go play and see how it feels,1
8386,It checked the boxes on loops,1
8387,I was in a similar situation to you when I started getting into trad and I went with the Arc'teryx 395a and I'm super happy with it,1
8388,It has pretty much no padding~ but makes up for it by having a super wide belt and leg loops,1
8389,I was a little skeptical because the MM Cadillac and BD Big Gun looked like they had so much more padding~ but I read reviews saying that the 395a was more comfortable and lighter,1
8390,I haven't tried those so i can't say for sure how they compare~ but the Arc'teryx is WAY more comfy than than my old Petzl Sama~ the gear loops are enormous compared to the sama~ and it packs down small enough to fit in my helmet for the approach,1
8391,If i had to do it again I would get the FL-365 because i haven't needed to adjust the leg loops at all,1
8392,Even with the softest~ fluffiest padding~ you're still going to wind up with all of your weight resting on some narrow straps~ and that soft fluffy padding is going to be mostly compressed when you're hanging,1
8393,The thing that makes more of a difference IMO is the width of the straps,1
8394,The padding on the MM might feel stiff~ but the belt and leg loops are significantly wider than those on the corax and that's what will make the difference in comfort,1
8395,With this in mind~ i feel that the Arc'teryx harness brilliantly does away with the bulky padding and leaves you with broad straps that spread the weight of your hanging body over a larger area without saddling you with an extra quarter pound of foam.,1
8396,^ exactly,1
8397,The width of the thin/low-profile FL-365 makes it incredibly comfy~ yet low bulk with huge gear loops.,1
8398,the arcteryx also does a lot really well,1
8399,sport climbing~ strip it down,1
8400,trad~ load it up,1
8401,ice climbing~ it's got clipper slots in the right spots~ doesn't soak like a padded one would.,1
8402,Try a bunch of harnesses on~ buy the one that fits~ and has the features you want~ and none of the features you don't want,1
8403,I’m a Misty Mountain guy for life,1
8404,But I’ve climbed in a lot of Arc’Teryx harnesses and they are legit,1
8405,Super comfy and light weight,1
8406,If I ever stray from my beloved Cadillac and Turbo~ it will be for deadbird,1
8407,And I hate to say it~ but the BD harness that will be available in January looks amazing,1
8408,Don’t think they’re gonna bring out a fully featured trad one right away~ but there will be one down the line.,1
8409,Dmm Renegade 2.,1
8410,Arcteryx AR395a (adjustable leg loops),1
8411,Padding is overrated~ you need to properly spread the load over a large area without it folding over,1
8412,Arc'teryx has mastered this~ no bulk~ no extra weight~ no padding to pick up moisture and prevent ventilation,1
8413,Black Diamond gear loops are often too narrow to hold a double rack without piggy backing pieces on each other.,1
8414,I have the Petzl Adjama and DMM Renegade 2,1
8415,I prefer the Renegade of the two for my trad climbing but for what you're describing (maximum comfort) you might look at something like the BD Big Gun,1
8416,It's quite tall (large surface area) and reasonably padded,1
8417,I really like my Petzl Adjama,1
8418,The new one has a 5th gear loop on the back and it works wonders,1
8419,Of course I only had 4 loops prior to this harness so anything is a step up,1
8420,It's reasonably comfy at belays and handles my trad rack just fine,1
8421,As other people have said~ I've also heard good things about the MM Cadilac~ but I've never used it,1
8422,So be able to try them on is the rub,1
8423,I'm in San Diego,1
8424,We got REI and Adventure 16,1
8425,They aren't carrying these harnesses to try on~ hence my posting this and seeking the wisdom from the collective dirtbag community,1
8426,BTW~ thank you all for the responses,1
8427,I've been in Nomads my last two Tahquitz trips but was after cams and biners so I didn't look to see if they had any of the harnesses mentioned in this thread,1
8428,I'll check this weekend,1
8429,I loaded the MM Caddy today with a double rack,1
8430,It was comfortable enough despite what felt like overly stiff padding,1
8431,It seemed to sag a bit,1
8432,Yes~ I've read the comments that they all sag,1
8433,I'm speaking in relative terms,1
8434,The belt being wider then my Petzyl~ I was expecting less sag,1
8435,I pulled it up and gave another tug and cinched it down a bit tighter and it seemed a bit better,1
8436,I guess the jury is still out,1
8437,I need to play with my rack arrangement and its loops,1
8438,My first racking didn't seem to take advantage of the gear loops..,1
8439,kinda of sh!# show,1
8440,Lastly~ I didn't think it would be a thing but my first wife's name was Misty and seeing that name prominently displayed keeps stirring up old memories~ some good~ some bad,1
8441,I might have to bail on the caddy for that reason alone,1
8442,:) So.......,1
8443,I thank you all again for the feedback,1
8444,It's really helping to make an educated decision in choosing an upgrade,1
8445,I'll be sure to pass along the golden nuggets to others as well.,1
8446,Another vote for a 395a,1
8447,I have not used the new adjama~ but the old one is the worst harness I have ever used.,1
8448,So I actually clicked this because the snarky asshole in me wanted to say “any harness is a trad hardness...” apologies But at risking thread drift: AFAIK~ the latest update to Petzl Corax removed the ice clipper slots,1
8449,Any long time Corax users who have been satisfied with that model~ need clipper slots~ and found an acceptable alternative? Might be moot because I’m still ~1-2 years from needing a new one,1
8450,I usually replace when the protectant webbing for the lower tie in wears through.,1
8451,I think the Cadillac is comfortable~ not because of the thickness of the padding~ but the because of the width of the waist portion of the harness,1
8452,Your weight is distributed over a wider section of the harness~ resulting in more comfort.,1
8453,Yeah~ the Adjama has the worst gear loop alignment possible,1
8454,They lay flat and are overlapping,1
8455,As an aside~ when I want lots of rack space I climb with a grivel lynx pack,1
8456,The pack is removable  if you just want to climb with the harness for the loops,1
8457,The lower loops (on red webbing) act like a second set of loops in the harness area and I use the chest loops for hold my next cam placement if I am in a good stance and my next placement won't be (easier to reach than harness),1
8458,It also works well as I share a rack with wife so we can just switch the pack back and forth,1
8459,I hate regular gear slings and prefer harness racking...,1
8460,Which the pack mimics well while adding flexibility and more loops!  The 10 ish liter pack is even set up to be able to swing around to your front  for access without taking the pack/harness off~ pretty clever design,1
